word addr 6300672, val 340000
word addr 6300676, val 67646162
word addr 6300680, val 65742065
word addr 6300684, val 31207473
word addr 6300688, val 0
word addr 6300692, val 1
word addr 6300696, val 0
word addr 6300700, val 400ffd
word addr 6300704, val 0
word addr 6300708, val 3130e5b0
word addr 6300712, val 35343332
word addr 6300716, val 31300036
word addr 6300720, val 35343332
word addr 6300724, val 400036
word addr 6300884, val 80001
word addr 6300888, val 41543144
word addr 6300892, val 34333231
word addr 6300920, val 70101
word addr 6300924, val 41543244
word addr 6300928, val 58333231
word addr 6300956, val 80201
word addr 6300960, val 41543344
word addr 6300964, val 34333231
word addr 6300992, val 10301
word addr 6300996, val 58585834
word addr 6301012, val 80202
word addr 6301016, val 41543544
word addr 6301020, val 34333231
